iter	Passed	Remaining
0	0	245
1	0	225
2	1	219
3	1	226
4	2	222
5	2	220
6	3	226
7	3	224
8	4	221
9	4	219
10	4	216
11	5	214
12	5	214
13	6	213
14	6	212
15	6	211
16	7	211
17	7	210
18	8	213
19	8	211
20	9	211
21	9	210
22	10	209
23	10	210
24	11	210
25	11	211
26	12	214
27	12	214
28	13	213
29	13	212
30	14	212
31	14	211
32	14	211
33	15	210
34	15	209
35	16	209
36	16	210
37	17	209
38	17	209
39	18	209
40	18	209
41	19	208
42	19	208
43	20	207
44	20	207
45	20	205
46	21	207
47	22	207
48	22	206
49	22	206
50	23	205
51	23	205
52	24	205
53	24	205
54	25	205
55	25	204
56	26	204
57	26	203
58	27	203
59	27	203
60	28	202
61	28	201
62	29	201
63	29	200
64	29	200
65	30	199
66	30	199
67	31	198
68	31	198
69	32	197
70	32	197
71	33	196
72	33	196
73	34	195
74	34	195
75	34	194
76	35	194
77	35	194
78	36	193
79	36	192
80	37	192
81	37	191
82	38	191
83	38	191
84	39	190
85	39	190
86	39	189
87	40	189
88	40	188
89	41	188
90	41	187
91	42	186
92	42	186
93	43	185
94	43	185
95	43	184
96	44	184
97	44	183
98	45	183
99	45	182
100	46	182
101	46	181
102	47	181
103	47	180
104	47	180
105	48	179
106	48	179
107	49	178
108	49	178
109	50	177
110	50	177
111	51	176
112	51	176
113	51	175
114	52	175
115	52	174
116	53	174
117	53	173
118	54	173
119	54	172
120	55	172
121	55	171
122	55	171
123	56	170
124	56	169
125	57	169
126	57	169
127	58	168
128	58	168
129	58	167
130	59	167
131	59	166
132	60	166
133	60	166
134	61	165
135	61	165
136	62	164
137	62	164
138	63	163
139	63	163
140	63	162
141	64	162
142	64	161
143	65	161
144	65	160
145	66	160
146	66	159
147	66	159
148	67	158
149	67	158
150	68	157
151	68	157
152	69	156
153	69	156
154	70	155
155	70	154
156	70	154
157	71	153
158	71	153
159	72	153
160	72	152
161	72	152
162	73	151
163	73	151
164	74	150
165	74	150
166	75	150
167	75	149
168	76	149
169	76	148
170	77	148
171	77	147
172	77	147
173	78	146
174	78	146
175	79	145
176	79	145
177	80	145
178	80	144
179	81	144
180	81	143
181	82	143
182	82	142
183	82	142
184	83	142
185	83	141
186	84	141
187	84	140
188	85	140
189	85	139
190	86	139
191	86	138
192	87	138
193	87	138
194	88	137
195	88	137
196	89	136
197	89	136
198	89	136
199	90	135
200	90	135
201	91	134
202	91	134
203	92	134
204	92	133
205	93	133
206	93	132
207	94	132
208	94	131
209	94	131
210	95	130
211	95	130
212	96	129
213	96	129
214	97	128
215	97	128
216	98	128
217	98	127
218	99	127
219	99	126
220	100	126
221	100	125
222	100	125
223	101	124
224	101	124
225	102	123
226	102	123
227	103	123
228	103	122
229	104	122
230	104	121
231	104	121
232	105	120
233	105	120
234	106	120
235	107	120
236	107	119
237	108	119
238	108	118
239	109	118
240	109	117
241	110	117
242	110	117
243	111	116
244	111	116
245	112	115
246	112	115
247	112	114
248	113	114
249	113	113
250	114	113
251	114	113
252	115	112
253	115	112
254	116	111
255	116	111
256	117	110
257	117	110
258	118	109
259	118	109
260	119	109
261	119	108
262	119	108
263	120	107
264	121	107
265	122	107
266	122	107
267	123	107
268	124	106
269	124	106
270	125	105
271	125	105
272	126	104
273	126	104
274	126	103
275	127	103
276	127	102
277	127	102
278	128	101
279	128	101
280	129	100
281	129	100
282	130	99
283	130	99
284	131	98
285	131	98
286	132	98
287	132	97
288	133	97
289	133	96
290	134	96
291	134	95
292	134	95
293	135	94
294	135	94
295	136	93
296	136	93
297	137	92
298	137	92
299	137	91
300	138	91
301	138	91
302	139	90
303	139	90
304	140	89
305	140	89
306	141	88
307	141	88
308	141	87
309	142	87
310	142	86
311	143	86
312	143	85
313	144	85
314	144	84
315	145	84
316	146	84
317	146	83
318	147	83
319	147	83
320	148	82
321	148	82
322	148	81
323	149	81
324	149	80
325	150	80
326	150	79
327	151	79
328	151	78
329	152	78
330	152	77
331	152	77
332	153	76
333	153	76
334	154	76
335	154	75
336	155	75
337	155	74
338	156	74
339	156	73
340	157	73
341	157	72
342	158	72
343	158	71
344	158	71
345	159	70
346	159	70
347	160	70
348	160	69
349	161	69
350	161	68
351	162	68
352	162	67
353	163	67
354	163	66
355	164	66
356	164	65
357	165	65
358	166	65
359	166	64
360	167	64
361	167	63
362	168	63
363	168	63
364	169	62
365	169	62
366	170	61
367	170	61
368	170	60
369	171	60
370	171	59
371	172	59
372	172	58
373	173	58
374	173	57
375	174	57
376	174	57
377	175	56
378	175	56
379	176	55
380	176	55
381	176	54
382	177	54
383	177	53
384	178	53
385	178	52
386	179	52
387	179	51
388	180	51
389	180	50
390	181	50
391	181	50
392	182	49
393	182	49
394	182	48
395	183	48
396	183	47
397	184	47
398	184	46
399	185	46
400	185	45
401	185	45
402	186	44
403	186	44
404	187	43
405	187	43
406	188	42
407	188	42
408	188	42
409	189	41
410	189	41
411	190	40
412	190	40
413	191	39
414	191	39
415	192	38
416	192	38
417	192	37
418	193	37
419	193	36
420	194	36
421	194	35
422	195	35
423	195	35
424	196	34
425	196	34
426	196	33
427	197	33
428	197	32
429	198	32
430	198	31
431	199	31
432	199	30
433	200	30
434	200	29
435	201	29
436	201	29
437	201	28
438	202	28
439	202	27
440	204	27
441	204	26
442	205	26
443	205	25
444	206	25
445	206	25
446	207	24
447	207	24
448	208	23
449	208	23
450	208	22
451	209	22
452	209	21
453	210	21
454	210	20
455	211	20
456	211	19
457	212	19
458	212	18
459	213	18
460	213	18
461	214	17
462	214	17
463	214	16
464	215	16
465	215	15
466	216	15
467	216	14
468	217	14
469	217	13
470	218	13
471	218	12
472	219	12
473	219	12
474	219	11
475	221	11
476	221	10
477	222	10
478	222	9
479	222	9
480	223	8
481	223	8
482	224	7
483	224	7
484	225	6
485	225	6
486	226	6
487	226	5
488	227	5
489	227	4
490	227	4
491	228	3
492	228	3
493	229	2
494	229	2
495	230	1
496	230	1
497	230	0
498	231	0
499	231	0
